impact,status,family,tokens,slug,sample_url
5,GAP,A_geo_cat_intent,los-angeles choreography near-me,los-angeles-choreography-near-me,/los-angeles-choreography-near-me.html
5,GAP,A_geo_cat_intent,los-angeles cosplay-fancam near-me,los-angeles-cosplay-fancam-near-me,/los-angeles-cosplay-fancam-near-me.html
5,GAP,A_geo_cat_intent,los-angeles dance-battle near-me,los-angeles-dance-battle-near-me,/los-angeles-dance-battle-near-me.html
5,GAP,A_geo_cat_intent,los-angeles dance-tutorial near-me,los-angeles-dance-tutorial-near-me,/los-angeles-dance-tutorial-near-me.html
5,GAP,A_geo_cat_intent,los-angeles dembow near-me,los-angeles-dembow-near-me,/los-angeles-dembow-near-me.html
5,GAP,A_geo_cat_intent,los-angeles fancam-4k near-me,los-angeles-fancam-4k-near-me,/los-angeles-fancam-4k-near-me.html
5,GAP,A_geo_cat_intent,los-angeles heels-choreo near-me,los-angeles-heels-choreo-near-me,/los-angeles-heels-choreo-near-me.html
5,GAP,A_geo_cat_intent,los-angeles k-pop-twerk near-me,los-angeles-k-pop-twerk-near-me,/los-angeles-k-pop-twerk-near-me.html
5,GAP,A_geo_cat_intent,los-angeles perreo near-me,los-angeles-perreo-near-me,/los-angeles-perreo-near-me.html
5,GAP,A_geo_cat_intent,los-angeles reggaeton near-me,los-angeles-reggaeton-near-me,/los-angeles-reggaeton-near-me.html
5,GAP,A_geo_cat_intent,los-angeles try-on-haul near-me,los-angeles-try-on-haul-near-me,/los-angeles-try-on-haul-near-me.html
5,NEAR,A_geo_cat_intent,los-angeles twerk 2026,los-angeles-twerk-2026,/los-angeles-twerk-2026.html
5,GAP,A_geo_cat_intent,los-angeles twerk community,los-angeles-twerk-community,/los-angeles-twerk-community.html
5,NEAR,A_geo_cat_intent,los-angeles twerk compilation,los-angeles-twerk-compilation,/los-angeles-twerk-compilation.html
5,NEAR,A_geo_cat_intent,los-angeles twerk creators,los-angeles-twerk-creators,/los-angeles-twerk-creators.html
5,GAP,A_geo_cat_intent,los-angeles twerk full-video,los-angeles-twerk-full-video,/los-angeles-twerk-full-video.html
5,NEAR,A_geo_cat_intent,los-angeles twerk playlist,los-angeles-twerk-playlist,/los-angeles-twerk-playlist.html
5,GAP,A_geo_cat_intent,los-angeles workout near-me,los-angeles-workout-near-me,/los-angeles-workout-near-me.html
5,GAP,A_geo_cat_intent,manchester twerk classes,manchester-twerk-classes,/manchester-twerk-classes.html
5,NEAR,A_geo_cat_intent,manchester twerk dancers,manchester-twerk-dancers,/manchester-twerk-dancers.html
5,NEAR,A_geo_cat_intent,manchester twerk studios,manchester-twerk-studios,/manchester-twerk-studios.html
5,NEAR,A_geo_cat_intent,manchester twerk tutorial,manchester-twerk-tutorial,/manchester-twerk-tutorial.html
5,GAP,A_geo_cat_intent,miami choreography near-me,miami-choreography-near-me,/miami-choreography-near-me.html
5,GAP,A_geo_cat_intent,miami cosplay-fancam near-me,miami-cosplay-fancam-near-me,/miami-cosplay-fancam-near-me.html
5,GAP,A_geo_cat_intent,miami dance-battle near-me,miami-dance-battle-near-me,/miami-dance-battle-near-me.html
5,GAP,A_geo_cat_intent,miami dance-tutorial near-me,miami-dance-tutorial-near-me,/miami-dance-tutorial-near-me.html
5,GAP,A_geo_cat_intent,miami dembow near-me,miami-dembow-near-me,/miami-dembow-near-me.html
5,GAP,A_geo_cat_intent,miami fancam-4k near-me,miami-fancam-4k-near-me,/miami-fancam-4k-near-me.html
5,GAP,A_geo_cat_intent,miami heels-choreo near-me,miami-heels-choreo-near-me,/miami-heels-choreo-near-me.html
5,GAP,A_geo_cat_intent,miami k-pop-twerk near-me,miami-k-pop-twerk-near-me,/miami-k-pop-twerk-near-me.html
5,GAP,A_geo_cat_intent,miami perreo near-me,miami-perreo-near-me,/miami-perreo-near-me.html
5,GAP,A_geo_cat_intent,miami reggaeton near-me,miami-reggaeton-near-me,/miami-reggaeton-near-me.html
5,GAP,A_geo_cat_intent,miami try-on-haul near-me,miami-try-on-haul-near-me,/miami-try-on-haul-near-me.html
5,NEAR,A_geo_cat_intent,miami twerk 2026,miami-twerk-2026,/miami-twerk-2026.html
5,GAP,A_geo_cat_intent,miami twerk community,miami-twerk-community,/miami-twerk-community.html
5,NEAR,A_geo_cat_intent,miami twerk compilation,miami-twerk-compilation,/miami-twerk-compilation.html
5,NEAR,A_geo_cat_intent,miami twerk creators,miami-twerk-creators,/miami-twerk-creators.html
5,GAP,A_geo_cat_intent,miami twerk full-video,miami-twerk-full-video,/miami-twerk-full-video.html
5,NEAR,A_geo_cat_intent,miami twerk playlist,miami-twerk-playlist,/miami-twerk-playlist.html
5,GAP,A_geo_cat_intent,miami workout near-me,miami-workout-near-me,/miami-workout-near-me.html
5,GAP,A_geo_cat_intent,nagoya twerk classes,nagoya-twerk-classes,/nagoya-twerk-classes.html
5,NEAR,A_geo_cat_intent,nagoya twerk dancers,nagoya-twerk-dancers,/nagoya-twerk-dancers.html
